طريقة العرض:,تفاصيل الصفقات المنفذة في كل مدينة,,
التاريخ:,24/02/36,,
لوحة المعلومات:,Pointer201_04,,
Parameter:,"جده,سكني,قطعة أرض,1436,محرم",,
,,,
"المدن (المدينة), تفاصيل الصفقات (الحي), تفاصيل الصفقات (المخطط), تفاصيل الصفقات (عدد العقارات - القطعة), تفاصيل الصفقات رقم الصفقة",السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده, , , 
   حي/ابحر الجنوبية, , , 
      مخطط/162, , , 
          قطعة 247/أ, , , 
            3781672,"ر2,700,000.000",400.00,"6,750"
          قطعة 247/ب, , , 
            3781732,"ر2,700,000.000",400.00,"6,750"
          قطعة 565/أ, , , 
            3720735,"ر2,350,000.000",375.00,"6,267"
          قطعة 75/ب, , , 
            3752492,"ر2,800,000.000",368.75,"7,593"
          قطعة 76/ب, , , 
            3739860,"ر2,523,000.000",312.60,"8,071"
      مخطط/216, , , 
          قطعة 113, , , 
            3765172,"ر16,200,000.000","2,025.00","8,000"
          قطعة 179/ب, , , 
            3780990,"ر1,500,000.000",418.00,"3,589"
          قطعة 209/أ, , , 
            3746185,"ر2,000,000.000",711.75,"2,810"
          قطعة 339/أ/أ, , , 
            3745441,"ر2,600,000.000",433.03,"6,004"
          قطعة 339/ب/أ, , , 
            3800892,"ر2,680,000.000",433.03,"6,189"
          قطعة 348/ب/أ, , , 
            3770309,"ر2,800,000.000",442.54,"6,327"
          قطعة 564/أ, , , 
            3744614,"ر6,300,000.000","1,400.00","4,500"
            3787655,"ر6,500,000.000","1,400.00","4,643"
      مخطط/39, , , 
          قطعة 89/أ/ع, , , 
            3776534,"ر781,250.000",312.50,"2,500"
          قطعة 89/ب/ع, , , 
            3776483,"ر781,250.000",312.50,"2,500"
      مخطط/أخرى, , , 
          قطعة 1134/ب, , , 
            3782737,"ر4,225,000.000",960.00,"4,401"
          قطعة 143/ب/م, , , 
            3796193,"ر1,300,000.000",225.00,"5,778"
      مخطط/ابحر الجنوبية, , , 
          قطعة 378/ب, , , 
            3747875,"ر3,500,000.000",486.05,"7,201"
          قطعة 56/م, , , 
            3780664,"ر1,400,000.000",450.00,"3,111"
          قطعة 607, , , 
            3750611,"ر5,000,000.000","2,500.00","2,000"
          قطعة 69/ج, , , 
            3722320,"ر4,050,000.000",900.00,"4,500"
          قطعة 77/ب/4, , , 
            3725793,"ر1,300,000.000",281.25,"4,622"
      مخطط/ابحر الجنوبية الشرقية, , , 
          قطعة 34/د, , , 
            3739911,"ر3,940,000.000",720.50,"5,468"
          قطعة 4/ى, , , 
            3810002,"ر100,000.000",400.00,250
          قطعة 92/ب/م, , , 
            3818800,"ر1,775,000.000",220.50,"8,050"
         العقارات 2-قطعة16/س, , , 
            3748631,"ر3,500,000.000","1,000.00","3,500"
   حي/ابحر الشمالية, , , 
      مخطط/155, , , 
          قطعة 1146, , , 
            3737138,"ر875,000.000",787.50,"1,111"
          قطعة 25, , , 
            3771360,"ر1,100,000.000","2,438.00",451
          قطعة 250, , , 
            3773139,"ر990,000.000",900.00,"1,100"
          قطعة 26, , , 
            3771490,"ر1,000,000.000","2,438.00",410
          قطعة 27, , , 
            3771595,"ر1,000,000.000","2,438.00",410
          قطعة 360, , , 
            3780802,"ر1,100,000.000",900.00,"1,222"
          قطعة 695, , , 
            3783110,"ر1,316,000.000",895.50,"1,470"
          قطعة 951, , , 
            3781424,"ر900,000.000",900.00,"1,000"
      مخطط/182, , , 
          قطعة 148/أ, , , 
            3753022,"ر875,000.000",375.00,"2,333"
          قطعة 148/ب, , , 
            3753070,"ر1,625,000.000",375.00,"4,333"
          قطعة 150, , , 
            3734607,"ر691,375.000",750.00,922
            3753129,"ر2,500,000.000",750.00,"3,333"
          قطعة 201/ب, , , 
            3720252,"ر1,550,000.000",234.53,"6,609"
          قطعة 202/أ, , , 
            3741161,"ر1,850,000.000",340.50,"5,433"
          قطعة 323/ب, , , 
            3722400,"ر1,716,799.000",315.00,"5,450"
          قطعة 410, , , 
            3807339,"ر2,200,000.000",630.00,"3,492"
          قطعة 548, , , 
            3795432,"ر2,300,000.000",625.50,"3,677"
          قطعة 567/ب, , , 
            3769398,"ر1,600,000.000",337.50,"4,741"
          قطعة 688, , , 
            3717251,"ر220,000.000",660.00,333
          قطعة 796/أ/51, , , 
            3813310,"ر2,400,000.000",315.00,"7,619"
      مخطط/230, , , 
          قطعة 273, , , 
            3764528,"ر1,500,000.000",552.00,"2,717"
          قطعة 275, , , 
            3764473,"ر1,500,000.000",552.00,"2,717"
          قطعة 395, , , 
            3727175,"ر884,275.000",575.00,"1,538"
          قطعة 4/ب, , , 
            3758004,"ر1,900,000.000",293.75,"6,468"
          قطعة 423/أ, , , 
            3749008,"ر1,250,000.000",287.50,"4,348"
          قطعة 463, , , 
            3818946,"ر1,950,000.000",625.00,"3,120"
          قطعة 59, , , 
            3813882,"ر350,000.000",575.00,609
          قطعة 760, , , 
            3797436,"ر1,725,000.000",575.00,"3,000"
          قطعة 761, , , 
            3797453,"ر1,725,000.000",575.00,"3,000"
          قطعة 985, , , 
            3760138,"ر5,000,000.000",552.00,"9,058"
      مخطط/302, , , 
          قطعة 54, , , 
            3781086,"ر23,500,000.000","1,755.14","13,389"
      مخطط/308, , , 
          قطعة 104, , , 
            3788670,"ر765,000.000",567.31,"1,348"
          قطعة 189, , , 
            3732533,"ر260,000.000",570.00,456
          قطعة 224, , , 
            3776474,"ر848,653.000",575.00,"1,476"
          قطعة 225, , , 
            3776637,"ر1,027,675.000",673.48,"1,526"
          قطعة 226, , , 
            3776548,"ر1,022,457.000",670.06,"1,526"
          قطعة 390, , , 
            3727901,"ر690,000.000",575.00,"1,200"
          قطعة 392, , , 
            3727991,"ر690,000.000",575.00,"1,200"
          قطعة 433, , , 
            3768293,"ر806,400.000",672.00,"1,200"
          قطعة 460, , , 
            3776431,"ر770,000.000",616.00,"1,250"
            3750434,"ر842,460.000",616.00,"1,368"
          قطعة 616, , , 
            3731339,"ر715,000.000",550.00,"1,300"
          قطعة 617, , , 
            3799065,"ر742,500.000",550.00,"1,350"
          قطعة 705, , , 
            3819317,"ر700,000.000",575.00,"1,217"
          قطعة 889, , , 
            3727852,"ر662,400.000",551.75,"1,201"
          قطعة 919, , , 
            3766000,"ر762,000.000",625.00,"1,219"
      مخطط/440, , , 
          قطعة 303/ب, , , 
            3754930,"ر2,450,000.000",287.50,"8,522"
          قطعة 516/د/ب, , , 
            3767231,"ر1,650,000.000",287.50,"5,739"
          قطعة 661/أ, , , 
            3732491,"ر1,050,000.000",300.00,"3,500"
          قطعة 661/ب, , , 
            3732462,"ر1,050,000.000",300.00,"3,500"
          قطعة 791/ج, , , 
            3823192,"ر2,500,000.000",625.00,"4,000"
          قطعة 793/ج, , , 
            3823175,"ر2,500,000.000",625.00,"4,000"
      مخطط/534, , , 
          قطعة 27, , , 
            3727915,"ر694,400.000",276.30,"2,513"
   حي/ابحر الشمالية _ منطقة ذهبان, , , 
      مخطط/393, , , 
         العقارات 2-قطعة671/أ, , , 
            3739381,"ر730,000.000",791.00,923
   حي/ابحر الشمالية خليج سلمان, , , 
      مخطط/370, , , 
          قطعة 1058, , , 
            3786652,"ر1,028,400.000",857.50,"1,199"
   حي/ابحر الشماليه خليج سلمان, , , 
      مخطط/3, , , 
          قطعة 107, , , 
            3793876,"ر375,000.000",900.00,417
          قطعة 111, , , 
            3793890,"ر375,000.000",900.00,417
   حي/الأجواد, , , 
      مخطط/223, , , 
          قطعة 2322, , , 
            3817403,"ر150,224.000",600.00,250
   حي/الأمير عبد المجيد, , , 
      مخطط/258, , , 
          قطعة 108, , , 
            3769364,"ر3,250,000.000","1,163.40","2,794"
          قطعة 253, , , 
            3761382,"ر2,300,000.000",895.59,"2,568"
   حي/الأمير فواز, , , 
      مخطط/536, , , 
          قطعة 1, , , 
            3766428,"ر2,000,000.000",713.88,"2,802"
   حي/الاجاويد, , , 
      مخطط/295, , , 
          قطعة 180, , , 
            3792405,"ر100,000.000",729.45,137
            3752621,"ر112,000.000",729.45,154
          قطعة 33, , , 
            3739426,"ر800,000.000",600.00,"1,333"
          قطعة 452, , , 
            3788910,"ر2,600,000.000",600.00,"4,333"
          قطعة 642, , , 
            3821717,"ر110,000.000",600.00,183
          قطعة 998, , , 
            3725895,"ر730,000.000",550.00,"1,327"
      مخطط/323, , , 
          قطعة 80, , , 
            3730397,"ر1,100,000.000",625.50,"1,759"
      مخطط/397, , , 
          قطعة 216/أ, , , 
            3801920,"ر1,770,000.000",450.00,"3,933"
          قطعة 315/أ, , , 
            3763780,"ر1,500,000.000",375.00,"4,000"
          قطعة 446, , , 
            3731226,"ر429,078.000",750.00,572
          قطعة 565/ب, , , 
            3766420,"ر790,000.000",600.00,"1,317"
          قطعة 584, , , 
            3758999,"ر1,100,000.000",900.00,"1,222"
          قطعة 666/ب, , , 
            3724224,"ر1,345,853.000",430.31,"3,128"
   حي/الاجواد, , , 
      مخطط/223, , , 
          قطعة 1166/ب, , , 
            3767111,"ر2,000,000.000",450.00,"4,444"
          قطعة 1182/ب, , , 
            3765701,"ر800,000.000",312.50,"2,560"
          قطعة 1545/ب, , , 
            3763706,"ر1,550,000.000",312.50,"4,960"
          قطعة 1561, , , 
            3796256,"ر1,700,000.000",400.00,"4,250"
          قطعة 1911, , , 
            3746899,"ر1,700,000.000",400.00,"4,250"
          قطعة 445, , , 
            3822400,"ر1,624,640.000",400.00,"4,062"
          قطعة 546, , , 
            3784559,"ر1,250,000.000",395.50,"3,161"
          قطعة 57, , , 
            3754122,"ر275,000.000",400.00,688
            3721332,"ر694,140.000",400.00,"1,735"
          قطعة 604, , , 
            3767158,"ر1,330,000.000",395.50,"3,363"
      مخطط/353, , , 
          قطعة 280/ب, , , 
            3821385,"ر889,310.000",354.46,"2,509"
          قطعة 296, , , 
            3782699,"ر1,560,000.000",500.00,"3,120"
          قطعة 341, , , 
            3733055,"ر1,600,000.000",500.00,"3,200"
          قطعة 453/ب, , , 
            3774321,"ر1,527,000.000",317.21,"4,814"
   حي/الاسكان, , , 
      مخطط/781, , , 
          قطعة 1, , , 
            3746868,"ر2,000,000.000",833.40,"2,400"
   حي/الاصالة, , , 
      مخطط/372, , , 
          قطعة 402/أ, , , 
            3793008,"ر1,450,000.000",300.00,"4,833"
          قطعة 483/ب, , , 
            3802113,"ر1,600,000.000",300.00,"5,333"
   حي/الامواج, , , 
      مخطط/220, , , 
          قطعة 63, , , 
            3721497,"ر790,142.000",900.00,878
      مخطط/251, , , 
          قطعة 112, , , 
            3763479,"ر1,600,000.000",690.00,"2,319"
          قطعة 12, , , 
            3726881,"ر1,096,000.000",598.00,"1,833"
          قطعة 143, , , 
            3771103,"ر1,620,000.000",690.00,"2,348"
          قطعة 186, , , 
            3798986,"ر1,656,000.000",690.00,"2,400"
          قطعة 216, , , 
            3813494,"ر2,205,000.000",900.00,"2,450"
          قطعة 222, , , 
            3810878,"ر1,750,000.000",690.00,"2,536"
          قطعة 342, , , 
            3776870,"ر1,725,000.000",750.00,"2,300"
          قطعة 343, , , 
            3776746,"ر1,725,000.000",750.00,"2,300"
          قطعة 344, , , 
            3776569,"ر1,725,000.000",750.00,"2,300"
          قطعة 345, , , 
            3776836,"ر1,725,000.000",750.00,"2,300"
          قطعة 392, , , 
            3762897,"ر1,793,750.000",715.50,"2,507"
          قطعة 393, , , 
            3763067,"ر1,793,750.000",715.50,"2,507"
            3777802,"ر2,000,000.000",715.50,"2,795"
          قطعة 394, , , 
            3763161,"ر1,793,750.000",720.00,"2,491"
          قطعة 395, , , 
            3777828,"ر1,700,000.000",720.00,"2,361"
            3763111,"ر1,793,750.000",720.00,"2,491"
          قطعة 509, , , 
            3809177,"ر2,000,000.000",750.00,"2,667"
          قطعة 512, , , 
            3788868,"ر1,944,375.000",775.50,"2,507"
          قطعة 513, , , 
            3788857,"ر1,944,375.000",775.00,"2,509"
          قطعة 514, , , 
            3788815,"ر1,944,375.000",780.00,"2,493"
          قطعة 515, , , 
            3788802,"ر1,944,375.000",780.00,"2,493"
          قطعة 563, , , 
            3721926,"ر790,142.000",720.00,"1,097"
          قطعة 73, , , 
            3771444,"ر1,749,600.000",729.00,"2,400"
          قطعة 731, , , 
            3740658,"ر1,770,000.000",768.00,"2,305"
          قطعة 810, , , 
            3734616,"ر1,462,500.000",650.00,"2,250"
      مخطط/403, , , 
          قطعة 23, , , 
